Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GNI (current US$),NY.GNP.MKTP.CD,Uruguay,URY,2787096774.19355,2151740871.77343,3664348522.02237,4026567607.18545,3453303694.82474,3593277819.83346,4046446164.67277,4833057461.57026,7123252019.2439,9781548635.98787,10974400785.6726,8991070719.61193,4815073394.65554,4485331873.4088,4380363003.67749,5587338378.43549,7065306267.23779,7884727816.39461,8072108155.79431,8960739815.98659,10942792783.8628,12646869875.6943,14759001040.3187,17154009397.49,18993823751.7719,20231414987.8321,23778108369.1669,25176023090.3656,23938913416.1721,22757044472.5445,20830698297.933,13684032690.4079,11555060250.9155,13095418888.7882,16862995829.0098,19142803546.6532,22892500106.5144,29459419613.0658,30622751134.3495,38781974490.6353,46332423916.0825,47564496538.7532,54453106144.0512,53621884315.5812,50889667798.6197,50093590963.6437,55987445146.5316,55472906965.9206,52721605685.9375,..
GNI (current US$),NY.GNP.MKTP.CD,Uzbekistan,UZB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12870102040.8163,13050333333.3333,12856072053.4436,13316340900.974,13875892215.5689,14569603773.5849,14887971210.8383,16910465982.0282,13541513969.314,11196421329.1974,9542788512.80184,10018453435.4603,11980923547.8807,14283209838.8053,17241833852.919,23242393927.8817,31271456763.7246,34586223673.2577,46799376855.851,56696527387.4816,63857323169.6953,69319478568.4504,77772394121.7722,83270938618.7361,82710512350.6978,60370825984.5965,51899655848.3238,58794690530.286,..
GNI (current US$),NY.GNP.MKTP.CD,Vanuatu,VUT,..,..,..,..,..,..,..,..,100061111.434306,103613951.853804,97221779.4275044,93391401.9624148,100181141.189494,125359335.646218,118370316.912408,118429900.257761,118747072.514819,140742378.691786,148255892.533391,167478562.275536,177037698.402794,179138495.536154,171965020.740853,196281450.527492,212619989.483858,229641712.882587,242494409.929396,254008427.697567,262915203.803796,259048307.010741,253925387.987228,251067156.922671,300079221.317918,346279173.027317,368951674.109811,419263676.072461,501687315.160513,605724181.615015,587919405.115034,679304278.828856,773128394.78909,738589540.260814,801474189.268075,819656730.025332,761923751.160666,802226232.772528,869106322.713243,922017605.790413,943143749.020816,..
GNI (current US$),NY.GNP.MKTP.CD,"Venezuela, RB",VEN,12248590909.0909,13508636363.6364,16347581395.3488,25463930232.5581,27564651162.7907,31627534883.7209,36298697674.4186,39354279069.7674,48307930232.5581,59445511627.907,66901441860.4651,66206744186.0465,65443279069.7674,57943376190.4761,59732466666.6667,58792901234.5679,46410034482.7586,58455413793.1034,41158822286.2631,47824453091.6844,52878709507.0423,58656223684.2105,58349223568.2819,56535715151.5152,75464268099.5475,68818004553.0793,83379869013.508,88835149744.3389,96511792966.8152,115747341176.471,120874113582.976,90144246705.1426,81432951034.1391,108964255274.15,143309823428.079,182474350721.938,232795087564.043,316632843886.972,327123127389.723,388341431499.169,308493145268.459,371208188282.47,359262387418.641,476933862544.158,..,..,..,..,..,..
GNI (current US$),NY.GNP.MKTP.CD,Vietnam,VNM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6330715743.53585,6059727166.74052,9101163208.71358,9530002771.68765,12678649388.4856,15874377853.9515,20509589504.8348,24267716294.8703,26351716133.1852,26708470549.6834,28301538111.3727,33193510389.4184,34854002605.5868,37384010461.5465,42088106159.5059,48573032508.1227,56575238837.089,64945527298.873,75243501680.3657,96180833933.9662,92613728993.6346,111512775426.54,129698119187.216,149569185711.542,163884761344.286,177360648761.112,183320503554.143,196686612384.35,207929413165.842,230004225280.45,246721274076.705,..
GNI (current US$),NY.GNP.MKTP.CD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GNI (current US$),NY.GNP.MKTP.CD,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3206000000,3722600000,3834000000,4280100000,4786500000,5025000000,4819100000,4322700000,3774700000,4212700000,4831300000,5474700000,5770900000,6368300000,7981700000,8617800000,10280600000,11935600000,13065900000,14675800000,15472300000,15684800000,17301100000,18257000000,19063900000,..,..
GNI (current US$),NY.GNP.MKTP.CD,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5611241366.41221,5734006734.00673,6313485166.31705,5267489204.19494,4088247678.01858,4073605062.0429,5278102816.1323,6224987546.98885,5967611967.86971,6945340964.43571,8878775938.36184,9170573372.5811,9876286275.87189,10751394112.228,12525767671.6673,15131744946.979,17827661731.5948,20300349319.0988,24995529208.4367,23958158615.8414,29087765768.4776,30388992670.2526,33831698297.0697,38599620416.9575,40586785610.2326,41096351275.13,30935978723.73,26736139802.004,23473901931.2373,22568581994.482,..
GNI (current US$),NY.GNP.MKTP.CD,Zambia,ZMB,1635714285.71429,1819857142.85714,2093142857.14286,2920000000,2435666666.66667,2496428571.42857,2372875000,2636750000,3039750000,3543750000,3763888888.88889,3751222222.22222,2973615384.61538,2460611111.11111,2011258064.51613,1355602564.10256,1925284210.52632,3304590361.44578,3591333333.33333,3005240579.71014,2994756965.94427,2866556424.58101,3018260379.85866,3420257992.23185,3565061682.67562,3391220962.00017,4052482388.74097,3314986735.40626,3240403182.57956,3444564099.26707,3929533495.80437,4043337448.279,4758773392.77037,5822392454.33049,7700141839.36373,11588306430.5737,12512434228.6071,16512263315.2682,14909632547.9083,18902559483.8548,22302537247.7215,25071084452.0428,26896365759.1875,26598573007.4113,20831483712.5249,20307759439.9085,24721592520.6156,25905068798.3477,22909173429.3295,..
GNI (current US$),NY.GNP.MKTP.CD,Zimbabwe,ZWE,2148316300,2642629400,3270853600,3929461400,4308300700,4245372000,4289403600,4292248900,5098913800,6529868200,7881373800,8313533300,7565863000,6229529000,5511259300,6033523700,6527215100,7574784100,8073322700,8511816600,8337481700,6471095900,6315813300,6594675000,6785270700,8234146600,8124571600,6016968200,6502724000,6328908700,6447326200,6072330100,5507714700,5522050000,5480616600,5131054900,4929377100,3972333100,8400638000,10614338700,12101614600,14901273600,17213424500,17643284500,17980769300,18772952300,20079596800,22706648400,19835846600,..
GNI (current US$),NY.GNP.MKTP.CD,Arab World,ARB,36999550996.7456,43960597301.2239,54793375505.4057,106009763442.037,121860893660.663,152347161991.565,171807491998.52,189762776338.778,249885633167.679,337093336482.176,343531289593.781,325321139643.088,310572207450.788,314780389698.743,314015052834.491,306491061066.625,325386678923.883,320073222634.428,333454177755.899,458243732661.745,439332080887.872,471327828131.636,479736141119.01,488209919137.066,532535779458.548,583817233479.373,617546541594.904,601653171717.098,641855873310.709,723196273430.551,715429912936.594,724150457021.327,814447022547.256,961780125198.88,1178758138135.95,1410416252572.82,1653247197892.35,2090071264381.58,1793763095787.89,2092900698126.17,2473705927587.1,2757232536966.58,2847450768107.1,2891865483259.62,2543812663751.81,2485777046474.4,2533658043384.91,2774520164402.36,2822966385417.9,..
